TEMPLATE_ID, FILENAME, CLUSTER_INDEX, CONFIDENCE
103053,frames/16074.png,0,1
103832,frames/16057.png,0,1
102778,frames/16071.png,0,1
104710,frames/16073.png,0,1
104440,frames/16072.png,0,1
102717,frames/16075.png,0,1
104610,frames/16067.png,0,1
102692,frames/16065.png,0,1
104235,frames/16069.png,0,1
103406,frames/15281.png,0,1
103003,frames/15280.png,0,1
104744,frames/16070.png,0,1
101131,frames/45217.png,1,1
101120,frames/45216.png,1,1
101044,frames/53701.png,1,1
101051,frames/45211.png,1,1
100834,frames/53833.png,1,1
100477,frames/45353.png,1,1
100412,frames/53838.png,1,1
100356,frames/53711.png,1,1
100121,frames/45178.png,1,1
101057,frames/53662.png,1,1
101400,frames/53483.png,1,1
101430,frames/45342.png,1,1
100330,frames/45341.png,1,1
100823,frames/53821.png,1,1
101277,frames/53822.png,1,1
100799,frames/53457.png,1,1
101268,frames/53459.png,1,1
100992,frames/53735.png,1,1
100899,frames/53736.png,1,1
100679,frames/53731.png,1,1
100430,frames/53730.png,1,1
100455,frames/53732.png,1,1
100559,frames/53857.png,1,1
100434,frames/45367.png,1,1
100723,frames/53595.png,1,1
100925,frames/53596.png,1,1
100619,frames/53440.png,1,1
101014,frames/53445.png,1,1
100530,frames/53448.png,1,1
100349,frames/45145.png,1,1
100154,frames/45144.png,1,1
100433,frames/45149.png,1,1
100639,frames/53900.png,1,1
101171,frames/53476.png,1,1
101466,frames/53836.png,1,1
100361,frames/53837.png,1,1
100341,frames/53832.png,1,1
101461,frames/53464.png,1,1
100475,frames/53467.png,1,1
101355,frames/53466.png,1,1
100394,frames/53894.png,1,1
101429,frames/53415.png,1,1
100042,frames/53412.png,1,1
101409,frames/53663.png,1,1
100163,frames/53660.png,1,1
101290,frames/53666.png,1,1
100805,frames/53664.png,1,1
100895,frames/45290.png,1,1
100509,frames/45182.png,1,1
101424,frames/53531.png,1,1
100763,frames/53659.png,1,1
101415,frames/53806.png,1,1
100452,frames/53432.png,1,1
100458,frames/53433.png,1,1
101406,frames/53431.png,1,1
100168,frames/53436.png,1,1
101396,frames/53435.png,1,1
100930,frames/53504.png,1,1
100542,img/45068.jpg,1,1
101312,frames/53427.png,1,1
100729,frames/53426.png,1,1
100382,frames/53428.png,1,1
100215,frames/53511.png,1,1
101283,frames/53515.png,1,1
100449,frames/53514.png,1,1
101187,frames/53517.png,1,1
101087,frames/45259.png,1,1
100441,frames/45258.png,1,1
101423,frames/53565.png,1,1
101195,frames/53566.png,1,1
101215,frames/53567.png,1,1
100852,frames/53561.png,1,1
100844,frames/53741.png,1,1
100285,frames/53562.png,1,1
100220,frames/53622.png,1,1
100611,frames/53621.png,1,1
100926,frames/53620.png,1,1
