TEMPLATE_ID, FILENAME, CLUSTER_INDEX, CONFIDENCE
101131,frames/45217.png,0,1
101120,frames/45216.png,0,1
101044,frames/53701.png,0,1
101051,frames/45211.png,0,1
100834,frames/53833.png,0,1
100477,frames/45353.png,0,1
100412,frames/53838.png,0,1
100356,frames/53711.png,0,1
100121,frames/45178.png,0,1
101057,frames/53662.png,0,1
101400,frames/53483.png,0,1
101430,frames/45342.png,0,1
100330,frames/45341.png,0,1
100823,frames/53821.png,0,1
101277,frames/53822.png,0,1
100799,frames/53457.png,0,1
101268,frames/53459.png,0,1
100992,frames/53735.png,0,1
100899,frames/53736.png,0,1
100679,frames/53731.png,0,1
100430,frames/53730.png,0,1
100455,frames/53732.png,0,1
100559,frames/53857.png,0,1
100434,frames/45367.png,0,1
100723,frames/53595.png,0,1
100925,frames/53596.png,0,1
100619,frames/53440.png,0,1
101014,frames/53445.png,0,1
100530,frames/53448.png,0,1
100349,frames/45145.png,0,1
100154,frames/45144.png,0,1
100433,frames/45149.png,0,1
100639,frames/53900.png,0,1
101171,frames/53476.png,0,1
101466,frames/53836.png,0,1
100361,frames/53837.png,0,1
100341,frames/53832.png,0,1
101461,frames/53464.png,0,1
100475,frames/53467.png,0,1
101355,frames/53466.png,0,1
100394,frames/53894.png,0,1
101429,frames/53415.png,0,1
100042,frames/53412.png,0,1
101409,frames/53663.png,0,1
100163,frames/53660.png,0,1
101290,frames/53666.png,0,1
100805,frames/53664.png,0,1
100895,frames/45290.png,0,1
100509,frames/45182.png,0,1
101424,frames/53531.png,0,1
100763,frames/53659.png,0,1
101415,frames/53806.png,0,1
100452,frames/53432.png,0,1
100458,frames/53433.png,0,1
101406,frames/53431.png,0,1
100168,frames/53436.png,0,1
101396,frames/53435.png,0,1
100930,frames/53504.png,0,1
100542,img/45068.jpg,0,1
101312,frames/53427.png,0,1
100729,frames/53426.png,0,1
100382,frames/53428.png,0,1
100215,frames/53511.png,0,1
101283,frames/53515.png,0,1
100449,frames/53514.png,0,1
101187,frames/53517.png,0,1
101087,frames/45259.png,0,1
100441,frames/45258.png,0,1
101423,frames/53565.png,0,1
101195,frames/53566.png,0,1
101215,frames/53567.png,0,1
100852,frames/53561.png,0,1
100844,frames/53741.png,0,1
100285,frames/53562.png,0,1
100220,frames/53622.png,0,1
100611,frames/53621.png,0,1
100926,frames/53620.png,0,1
100818,frames/45228.png,0,1
101448,frames/53579.png,0,1
100414,frames/53578.png,0,1
100029,frames/53572.png,0,1
100863,frames/45304.png,0,1
100665,frames/53611.png,0,1
100766,frames/53385.png,0,1
100284,frames/45166.png,0,1
100470,frames/53549.png,0,1
101099,frames/53600.png,0,1
100270,frames/45203.png,0,1
100719,frames/45208.png,0,1
101010,frames/53399.png,0,1
101337,frames/53513.png,0,1
100484,frames/53555.png,0,1
101282,frames/53550.png,0,1
100445,frames/53414.png,0,1
100206,frames/51779.png,1,1
100810,frames/51775.png,1,1
101080,frames/51777.png,1,1
101309,frames/51773.png,1,1
101209,frames/51778.png,1,1
100739,img/2120.jpg,1,1
100691,frames/167545.png,2,1
100556,frames/167123.png,2,1
100033,frames/166986.png,2,1
102161,frames/127285.png,2,1
100298,frames/168089.png,2,1
100874,frames/167231.png,2,1
101025,frames/167461.png,2,1
101325,frames/167268.png,2,1
100159,frames/167724.png,2,1
100342,frames/166885.png,2,1
100538,frames/167833.png,2,1
100480,frames/166943.png,2,1
102374,img/122343.jpg,3,1
102340,img/121583.jpg,3,1
101789,frames/207405.png,3,1
102277,frames/198261.png,3,1
101916,frames/199880.png,3,1
101870,frames/207407.png,3,1
102289,img/121400.jpg,3,1
102339,frames/207239.png,3,1
102464,frames/196938.png,3,1
102222,frames/207168.png,3,1
101863,frames/207288.png,3,1
101857,frames/199525.png,3,1
102525,frames/199749.png,3,1
102246,frames/207268.png,3,1
102205,img/121518.jpg,3,1
101810,frames/207296.png,3,1
102275,frames/200250.png,3,1
102094,frames/207420.png,3,1
101780,frames/207394.png,3,1
101807,frames/207250.png,3,1
101915,img/590.jpg,4,1
101516,img/3976.jpeg,4,1
101750,img/1979.jpg,4,1
102056,img/4318.jpg,4,1
101575,img/3472.JPG,4,1
102403,img/5055.jpg,4,1
102418,img/3281.jpg,4,1
102312,img/4379.jpg,4,1
101763,img/356.jpg,4,1
102523,img/2596.JPG,4,1
101849,img/4120.jpg,4,1
101530,frames/78169.png,5,1
102385,frames/78168.png,5,1
102441,frames/78178.png,5,1
102425,frames/78179.png,5,1
102120,frames/78172.png,5,1
102407,frames/78173.png,5,1
101905,frames/78176.png,5,1
102553,frames/78177.png,5,1
101604,frames/78174.png,5,1
102361,frames/78175.png,5,1
102420,frames/78180.png,5,1
101745,img/78152.jpg,5,1
101571,frames/78182.png,5,1
101985,frames/175910.png,6,1
102027,frames/176383.png,6,1
101837,img/143593.jpg,6,1
101984,frames/175841.png,6,1
101640,frames/176028.png,6,1
101769,frames/176087.png,6,1
102346,frames/175830.png,6,1
102218,frames/175951.png,6,1
102034,frames/175944.png,6,1
102003,frames/176329.png,6,1
102311,frames/175782.png,6,1
101775,frames/175967.png,6,1
102172,frames/175969.png,6,1
102126,frames/175991.png,6,1
102245,frames/175768.png,6,1
101526,img/143652.jpg,6,1
101965,frames/175821.png,6,1
101783,frames/176380.png,6,1
101955,frames/175940.png,6,1
101784,frames/176244.png,6,1
102052,frames/176394.png,6,1
101889,frames/176019.png,6,1
100667,frames/18966.png,7,1
100819,frames/18967.png,7,1
100040,img/342.jpg,7,1
101112,frames/13700.png,7,1
101104,img/1036.JPG,7,1
101048,frames/18973.png,7,1
101094,frames/18971.png,7,1
100820,frames/18970.png,7,1
101788,frames/129972.png,8,1
102183,frames/180601.png,8,1
101481,img/2973.jpg,8,1
102400,frames/182268.png,8,1
102162,frames/179080.png,8,1
101701,frames/177674.png,8,1
101836,frames/128821.png,8,1
101395,frames/182879.png,8,1
